郑重	审慎,庄严,把稳,认真,隆重,谨慎,慎重,庄重
所向无敌	势不可当,降龙伏虎,攻无不克,势如破竹,长驱直入,百战百胜,战无不胜,所向披靡
喜滋滋	乐滋滋,喜洋洋,乐陶陶,喜孜孜
守候	等候,等待
张惶	张皇,惊慌,慌张
成分	身分,成份,因素
入境问禁因地制宜	入境问俗
修养	涵养,教养,素养
憨实	淳朴,浑厚
百孔千疮	创痍满目,赤地千里,疮痍满目,哀鸿遍野,民生凋敝
失慎	不慎
情份	情分
捉襟见肘	入不敷出,疲于奔命,顾此失彼,一贫如洗,左支右绌,寅吃卯粮,应接不暇
劳累	疲倦,劳碌,劳顿,疲劳,劳苦,吃力,委顿,怠倦,疲乏,疲困,疲惫,疲钝,疲顿,辛劳,辛苦,操劳
现象	征象,景象,表象
解当铺	典押铺
魂魄	魂灵,灵魂,精神
乐极生悲	否极泰来,兴尽悲来
敷衍	塞责,唐塞,对付,搪塞,马虎
身死	身故
防微杜渐	未雨绸缪,防患未然
不堪言状	不可言喻
泰西	西洋,欧美
跌宕	跌荡,跌荡放诞
做官	仕进
坚决	执意,果决,刚毅,固执,坚定,坚强,坚毅,果断,毅然,刚强,倔强
溃逃	溃败,溃散,崩溃
溃退	败退
讲错	失言,失口
抬高	提高,升高,举高,吹捧
花纹	斑纹
寸阴	寸晷
古貌古心	古道热肠
一级	甲等,甲第,头等
春风	东风
颓废	颓丧,不振,低沉,委靡,悲观,懊丧,沮丧,消极,消沉,灰心,衰颓,颓唐,颓靡
各自进行	各不相谋,各行其是
走漏	泄露,吐露,暴露,泄漏,透露,走露,败露
军营	虎帐,兵营
聚敛	榨取,搜括,剥削
波涛汹涌	大风大浪,惊涛骇浪,烟波浩渺
松手	撒手,放弃,放手,甩手
著名	出名,有名,闻名,驰名
裁员	裁人
谁人	那个
耕市不惊	秋毫无犯
应该	应当,理当,该当
仆众	奴婢,奴仆
视为畏途	望而生畏
胜利	得胜,告成,告捷,成功,获胜,顺利
应试	应考
扑面	劈面,迎面
鄙吝	悭吝,小器,吝啬,吝惜,小气
聚散	离合
官僚	政客,权要
纵容	姑息,放任,放纵,怂恿
后台	后盾,背景,靠山
惊喜	欣喜
明亮	通亮,敞亮,豁亮,亮堂
打通	买通
装门面	撑场面
发扬踔厉	发扬蹈厉
浮滑	轻浮,轻佻,佻薄,轻狂,轻薄
瞪眼	怒目,怒视,努目
明了	清楚,通晓,理会,懂得,明确,了然,了解,明晰,明白,清晰,理解,知道,领会,清楚明了,领略
望梅止渴	割肉医疮,画饼充饥,聊以自慰
全盘	全豹,通盘,一切,全体,全数,全部,全面,完全,总共,悉数,所有,整个,统统,一共
岩穴	山洞
昼寝	午睡
暗射	影射
稚童	童子,孺子,稚子,儿童,幼稚
等级	品级,等第
舍下	寒家,寒舍,舍间
前事不忘;后事之师	前车之鉴
精湛	高深,精良,精熟,卓越,深湛,精深,精美,高超
吊唁	怀念,悼念,吊丧,丧祭,吊祭,吊问,哀悼
条子	便条
一锤定音	一槌定音
均可	都可
大方	风雅,大度,大雅,慷慨,端庄,豪爽,高雅
珍馐	珍羞
娇纵	骄纵
11、	十一、
有始无终	半途而废,虎头蛇尾,有头无尾
溟溟	冥冥
斥候	尖兵,标兵
惺惺作态	装模作样
及时行乐	极乐世界
彻里彻外	彻上彻下,彻头彻尾
父母	怙恃
上风	优势
伐罪吊民	除暴安良
腋臭	狐臭
到任	就任
不祥之兆	凶多吉少
不苟言笑	缄口结舌,一本正经,道貌岸然
情之所锺	情有独锺,有独锺
示正	斧正
飞黄腾达	青云直上,平步青云,加官晋爵
胜景	名胜
不能胜数	不能尽数
桑榆暮景	风烛残年
兜揽	招徕
打开	开启,翻开,敞开
远近	遐迩
朝不虑夕	朝不保夕,岌岌可危,气息奄奄,奄奄一息,危在旦夕
弄璋	梦熊
激情	热诚,豪情,热情,热忱
日蚀	日食
别传	外传
尝鼎一	一叶知秋
极其	极端,极为
舞文弄墨	舞词弄札
鼎足之势	三分鼎足,三足鼎立
宽厚	优容,宽宏,宽容
宰杀	屠宰
号令	下令,召唤,号召,命令,敕令,呼吁
左道旁门	歪门邪道
不分皂白	不问青红皂白,不管三七二十一
罢工	歇工,停工
刚健	健壮
宣战	打仗,媾和
嫁狗随狗	嫁狗逐狗
冗赋	杂税
身不由主	身不由己
映射	映照
热暑	酷暑
就医	就诊
精读	细读
山高水低	三长两短
不可终日	寝食不安
嫁祸于人	以邻为壑
孀妇	未亡人,寡妇
戎马倥偬	戎马生涯
暗箭	冷箭
快要	将近
暗算	暗害,密谋,暗杀,谋害
妙语横生	谈笑风生
八怪七喇	稀奇古怪
蓄意	故意,企图,妄图,存心,打算,有心,有意,用意,蓄谋,居心,阴谋,蓄志
蛋白	卵白
自命不凡	得意洋洋,得意忘形,骄傲自满,踌躇满志,自视过高,自命清高,自我陶醉,自高自大,自鸣得意,自视甚高,孤芳自赏,顾盼自雄,自以为是,目空一切
千万	万万
浸渐	积渐
委靡	颓丧,委顿,疲劳,颓废,怠倦,消沉,疲乏,疲倦,疲惫,颓唐,萎靡
没必要	不必
居丧	宅忧
弊端	毛病,时弊,流毒,短处,坏处,弊病,弱点,流弊,瑕疵,缺欠,缺点,缺陷,瑕玷
十二、	12、
战线	阵线
道德	品德,德性,德行
挑选	挑拣,拣选,采选,筛选,选取,选择,遴选,抉择
兼收并蓄	兼容并包
此人	这人
匪徒	强盗
公子王孙	纨子弟,公子哥儿,纨绔子弟
妄想	妄念,贪图,企图,妄图,幻想,空想,逸想,野心,希图,意图
须知	应知
焰火	烟火
悲愤	悲忿
副作用	反作用
嗷嗷待哺	饥寒交迫
取笑	讥笑,嗤笑,嘲弄,嘲笑,嘲讽,打诨,讥讽,讪笑,讽刺
建国	开国
严厉	严苛,严刻,严格,严酷,严峻,严肃,峻厉
安放	安插,布置,安置,安顿,放置,部署,铺排
的地方	之处
挑逗	撩拨
明目张胆	肆无忌惮,堂堂皇皇,堂而皇之,明火执仗,所行无忌
轻而易举	十拿九稳,垂手可得,驾轻就熟,稳操胜算,易如反掌,得心应手,轻车熟路,瓮中捉鳖,唾手可得,不费吹灰之力,举手投足,如汤沃雪,顺风吹火
营私舞弊	上下其手,假公济私,两袖清风,徇私舞弊,结党营私
兵舰	军舰,战舰,战船,艨艟
自傲	自信,自负,自恃,自大,自满,高傲,骄傲
破落	败落
光辉灿烂	灿烂辉煌,光彩夺目,光芒万丈
疲于奔命	捉襟见肘,应接不暇
电机	机电
孳乳	滋生,繁殖,生息
化尽心血	费尽心机
商谈	会谈,谈判,座谈
冲凉	洗沐,洗浴,洗澡
鸿沟	天堑,边界,畛域
行尸走肉	酒囊饭袋
顾忌	顾虑,忌惮,忧虑,担心,畏忌,担忧
料中	估中,猜中
先进	优秀,先辈,进步前辈
嗟叹	叹气,太息,叹息,呻吟
却不知	殊不知
传教	宣教,宣道,布道
酷暑	炎热,伏暑,炎夏,炎暑,炽热,热暑,盛暑,酷热
颁布	宣告,公布,发布,宣布,颁发
慓悍	剽悍,勇悍
颖慧	颖悟,颖异,聪颖
粉白黛黑	粉白墨黑
千山万水	千山万壑
还击	反击,回击,回手
拍手称快	皆大欢喜
形成	产生,变成,造成,酿成,构成
高利贷	印子钱
敕令	号令,命令,下令
当机立断	斩钉截铁,刚毅果决,应机立断,毅然决然,快刀斩乱麻
乔迁之喜	出谷迁乔
朱紫	贵人
明晃晃	白晃晃,亮堂堂
不识一丁	不识之无
散漫	涣散
放言高论	夸夸其言,高谈阔论,海阔天空,侃侃而谈
姑娘	女士,小姐,女人,密斯
宠任	宠信
承办	经办,包揽,包办
大红大紫	大富大贵
扮装	装扮,化装,化妆,打扮
牺牲	阵亡,去世,捐躯,就义,归天,亡故,作古,升天,弃世,死亡,殉国,殉难,舍身,葬送,逝世,舍弃,仙逝
匠心独运	别开生面,别出心裁,独具匠心,别具匠心
依照	依据,遵从,按照,根据,遵守,遵循,遵照
角力计较	比力
过后行兵	因循自误,坐失良机
音问	消息,音尘,音讯
公子哥儿	公子王孙,膏粱子弟,纨绔子弟
持疑不定	持疑不决
待价而沽	囤积居奇,奇货可居
去向	行止,去处
美谈	韵事,佳话,嘉话
姨妈	姨娘,阿姨
反悔	忏悔,后悔,懊悔
谎话	妄言,鬼话,大话,假话,谎言
进步前辈	先进
酣睡	熟睡,沉睡,甜睡
大富大贵	大红大紫
巨额	大宗,大批,大量
时局	时事,时势,事势,局势,形势
取得	获得,博得,得到,赢得
仪态万方	仪态万千
无拘无束	自由自在,行云流水
友善	和睦,友好,友爱
下不为例	适可而止
现世	今世,今生
夜半	子夜,半夜,午夜,深夜
会面	碰面,会晤,会见,晤面,相会,见面,谋面
勉强	牵强,委曲
不得人心	众叛亲离
歧视	看不起,蔑视,鄙视,轻视
少量	少许,小批,小数,小量,少数
己方	自己
姿式	姿势
邦交	国交,建交,来往,缔交
与世浮沉	随波逐流,同流合污,随俗浮沉
根源	出处,本原,本源,来历,来源,根基,泉源,起源
煮豆燃萁	兄弟阋墙,骨肉相残
田猎	野猎
才华盖世	才华出众,才华横溢
华裔	华侨
牛崽裤	牛仔裤
珍摄	保重,珍惜,珍重
本原	根源,基础,来源,根基,来源根基
受饿	挨饿
假装好人	假仁假义
扫视	审视
照像	照相
庖丁解牛	得心应手
婉言	婉词
查问	查询,盘查,盘诘,盘问,究诘
雷打不动	坚如磐石
寓居	居住
维系	保持,贯串,连接,连结
瞭望	眺望
目前	当前,今朝,如今,当今,方今,暂时,此刻,现在,目下,而今
气力	力气,力量,实力
湿渌渌	湿漉漉
痛苦悲伤	疼痛
不堪入目	行同狗彘
补葺	缮治,修缮,修理
枯萎死亡	凋零
气势	声势,气概,气派,气焰,气魄,派头,魄力
卖力	卖命,用心,认真,负责
凶年	荒年,歉岁,歉年,灾年
更进一竿	更上一层楼
穷困潦倒	潦倒穷困
狞恶	狰狞,阴毒,狂暴,凶横,凶暴,凶狠,凶恶,凶残,狠毒
坑蒙拐骗	坑绷拐骗
约略	大意,大抵,大概,大略,大约,大致,大要,梗概,省略,简略,粗略,节略
雄图	伟略,宏图,雄略
绝顶	极度,尽头,至极,非常
赴汤蹈火	粉身碎骨,两肋插刀,出生入死,冲锋陷阵,历尽艰险,奋不顾身,肝脑涂地,粉身碎骨奋不顾身
技巧	本领,伎俩,手段,手法,手腕,手艺,技术,方法,技能,技艺
蚀本	亏折,亏损,亏本,亏蚀,折本,赔本
天下无双	绝无仅有,独一无二,见所未见
两袖清风	囊空如洗,营私舞弊,廉洁奉公
誓言	誓词
媳妇	子妇
杀青	告竣,告终,完成,完毕,竣工,达成
酒池肉林	灯红酒绿,穷奢极侈,荒淫无度
命途坎坷	偃蹇困穷
失诸交臂	失之交臂
不可开交	不亦乐乎
目生	陌生
夜长梦多	朝令夕改
意得志满	得意洋洋,踌躇满志,自鸣得意,称心如意,心满意足
挑衅	搬弄,离间,寻事,寻衅,挑战,挑拨
剖白	辨白
光宗耀祖	光前裕后,耀祖光宗,显亲扬名
冬天	冬季
罢了	而已,完结,完了
令行禁止	大张旗鼓
截至	停止,截止
预付	预支
显着	分明,显明,明显,光鲜明显,昭彰,显然
法规	规则,准则,律例,法例,法则,规矩
诡辞欺世	妖言惑众
装璜	装潢,装饰
一语破的	刀刀见血,一语道破,要言不烦,一针见血,单刀直入,言必有中,对症下药
默默	安静,寂然,悄悄,沉静,沉默,冷静,沉默是金
与世长辞	寿终正寝,呜呼哀哉,一命呜呼
招安	招抚
挥舞	挥动,摇动
秘而不宣	秘而不泄,秘而不露,据为己有
桀骜不驯	横冲直撞,俯首听命
掠夺	强抢,劫夺,抢劫,篡夺,掠取,侵夺,争夺,侵占,侵掠,劫掠,夺取,打劫,抢夺,抢掠,掳掠,攫取,洗劫
愚公移山	铁杵磨针,铁杵成针
了如指掌	知己知彼,洞若观火,管窥蠡测,一目了然,旁观者清,如数家珍
埋葬	掩埋,安葬,葬送
除污去垢	荡瑕涤秽
法宝	宝贝
落空	失去,破灭,失
家声	门风
存储	保存
汜博	广博
人微言轻	人微权轻
旧式	老式
小商小贩	小本经营
魔鬼	妖怪,妖魔,恶魔,邪魔
吃里爬外	吃里扒外
鸿运	隆运
批示	指使,指示,指挥,指导,指点
洒脱	萧洒,超脱,飘逸,超逸,潇洒,俊逸
恋爱	爱情
洗练	洗炼
凌辱	侮辱,欺负,蹂躏,欺侮,欺凌,伤害,虐待
灵魂	魂灵,魂魄,精神
尤物	美人
巡礼	巡游,巡回,巡行
虐待	凌虐,蹂躏,残虐,凌辱,迫害,苛待,荼毒,残害,摧残,伤害,恣虐,欺负,苛虐
孤介	孤僻
话中有话	言外之意
七零八碎	鸡零狗碎
桎梏	枷锁,束缚,拘束,牵制,约束,镣铐,枷锁束缚
蔚成风气	蔚然成风
改过迁善	改恶从善
生拖死拽	生拉硬扯
无缺	完好,完整
盘盘大才	过人才略
猖	跋扈
惹事生非	无事生非
拐骗	诱骗,诱拐
招致	导致
垂头	低头
草纸	厕纸
仪表	风仪,容貌,像貌,相貌,风度,风范,仪容,风采,边幅,面目,面貌
黑灯下火	黑灯瞎火
心地	心肠,心性
冬衣	冬装,寒衣
军种	兵种
隔岸观火	斗,坐观成败,缩手旁观,冷眼旁观,见死不救,漠不关心,袖手旁观,置身事外,坐视不救
消弱	消退
暴虎冯河	有勇无谋
补苴罅漏	补偏救弊
消弭	消除,扫除,排除,消灭,消释,袪除,解除
结合	连接,联合,联结,连合,连系,连接结构,纠合,连结
后面	后头,背面,反面
玄之又玄	深奥无极,渺不可测
安营扎寨	安家落户
工资	工钱,待遇,报酬,薪金,酬劳,人为
过火	偏激,过甚,过分
甘薯	番薯
季父	仲父,叔父
自告奋勇	毛遂自荐,挺身而出
麦克风	话筒
烦扰	烦嚣,烦躁,纷扰,喧嚣,干扰,搅扰,烦恼,烦闷,扰乱
剖别	别析
剖判	别析,判辨,剖释,解析,分析
易如反掌	十拿九稳,举手之劳,手到擒来,轻而易举,稳操胜算,瓮中捉鳖,唾手可得,垂手可得,不费吹灰之力
采取	采用,采纳,接纳,选取,选择,选用,拔取
国民	人民,公民,百姓,黎民
喜闻乐见	雅俗共赏,脍炙人口
花花公子	纨绔子弟
搬场	搬迁,搬家,乔迁,徙迁,迁居
百万雄师	百万雄兵
心曲	襟曲,衷曲,衷肠
张口结舌	守口如瓶,默默无言,目瞪口呆,呆若木鸡,默不作声,哑口无言,理屈词穷,瞠目结舌,钳口结舌,噤若寒蝉
史无前例	前所未有,空前未有,亘古未有,开天辟地
农家	田舍,农户
欢畅	欢腾,愉快,欢乐,欢喜,快乐,欢娱,欢快,欢欣,高兴
捆绑	系缚,绑缚,捆扎
处治	惩罚
凋射	腐败
自强不息	发奋图强
称兄道弟	情同手足
包围	笼罩,包抄,围困,困绕
丰年	有年,乐岁,熟年,康年
诱饵	钓饵
汗颜无地	无地自容
隐恶扬善	遏恶扬善,以德报怨
大千世界	芸芸众生
挣脱	摆脱,解脱
揭露	揭破,揭示,戳穿,揭发,揭穿,暴露
行动	举措,举动,举止,行为,动作,步履,行径,言论,活动
不约而合	不谋而合
貌似	好像
不约而同	不谋而合
凝练	凝炼
冤仇	仇恨
凝结	凝集,冻结,凝固,凝聚,固结
老马识途	识途老马,谙熟门路
要末	要么
能言巧辩	伶牙俐齿,能说会道,巧舌如簧
兵戎相见	短兵相接
肃然	寂然
鉴貌辨色	察言观色
驻守	屯扎,驻扎,驻防
不光	不仅,不只,不单,不但
己饥己溺	爱人如己
不免	未免,难免
各别	互异,各异
频仍	频繁,一再,屡次
晤面	会面,相会,碰面,见面,谋面
占多数	居多
开云见日	重见天日
喜形于色	喜笑颜开,喜不自胜,眉飞色舞,义形于色,眉开眼笑,笑逐颜开,笑逐言开,笑容可掬,喜怒无常
横冲直撞	桀骜不驯,横行无忌
暮景	晚景
丑态毕露	令人作呕,尖嘴猴腮
接头	接洽,讨论
雷厉风行	大刀阔斧,闻风而动
法律王法公法	国法
发扬光大	踵事增华
如饥似渴	迫不及待
望眼欲穿	望眼将穿,望穿秋水,令人神往
左右开弓	双管齐下
检阅场	演武厅
滔滔不绝	千言万语,娓娓而谈,侃侃而谈,夸夸其谈,大言不惭,口齿伶俐,喋喋不休,口若悬河,哑口无言
美元	美圆
小视	蔑视,藐视,轻视,小看
铰链	搭钮
致使	以致,导致
歪曲	扭曲,曲解,污蔑,诬蔑,误解
眼花撩乱	目迷五色
厕所	茅厕
风靡云蒸	风靡云涌,方兴未艾,风起云涌
逝世	去世,归天,牺牲,丧生,亡故,仙逝,作古,升天,去逝,圆寂,断命,死亡,死灭,殒命,毕命,陨命,死,弃世
繁忙	劳碌,忙碌
杀鸡吓猴	杀一儆百
放肆	妄为,任意,任性,恣意,恣肆,放任,放恣,狂妄,狂放,猖狂,猖獗,大肆,放荡,豪恣,放浪,放纵,肆意
长时间	长期
守愚藏拙	深藏若虚
具有	具备,拥有
丧魂落魄	魂不附体,惊慌失措,丧魂失魄
急风暴雨	疾风暴雨
一表人才	一表非凡,仪表堂堂
虚名	空名,浮名
适值	凑巧,刚巧,恰好,恰巧,恰恰,正值,正好
已经是	已是
重男轻女	男尊女卑
急如星火	当务之急,十万火急,迫在眉睫,燃眉之急,迫不及待
魂飞天外	魂不附体,魄散九霄,六神无主,魂不守舍,失魂落魄,魂飞魄散
判决	裁决,判定,判断,讯断
赞赏	赞许,称誉,称道,颂扬,夸奖,歌颂,称赞,称颂,表彰,表扬,讴歌,赞叹,赞扬,赞美,赞誉,赞颂,颂赞,称扬
奴婢	仆众,奴仆,奴隶,仆从,奴才
吻合	契合,适合,符合,切合,相符
率由旧章	一成不变,依样葫芦,萧规曹随
沧海桑田	白云苍狗
领悟	融会,理会,会意,体会,体味,意会,明白,理解,认识,领会,领略,贯通,了解
推重	推许,尊敬,推崇,敬仰,敬重
余晖	余辉
穿房入户	穿房过屋
孝顺	孝敬
过低	太低
一语中的	一针见血
山崩地陷	山崩地裂
浮屠	浮图,宝塔
前仰后合	前合后仰
池沼	沼泽
出事	失事
拂尘	布掸子,接风
伤天害理	丧尽天良
蜕化	堕落,变化,改变,蜕变,转变,腐化
精神萎顿	萎靡不振
期求	企求,祈求
索然无味	兴味索然,枯燥乏味,兴致索然,枯燥无味,味如鸡肋,味同嚼蜡
前进	挺进,行进,进步,上进
款子	款项,金钱
千呼万唤	呼天喊地
奇树异草	奇花异草
估算	预算
羽林军	御林军
厢房	配房
前夕	前夜
前夜	前夕
悠远	遥远,久远,悠久,长远
成例	老例
瞎说八道	胡言乱语
元首	首领,领袖,首脑,总统,魁首,党魁,领导,党首
蓬户瓮牖	蓬门荜户
公判	公审
顿然	陡然,倏忽,蓦然,骤然,忽地,忽然,猛然,猝然,突然,蓦地,遽然
险阻	坎坷,险峻,崎岖
摰友	好友
他心	异心,二心,外心,贰心
启蒙	发蒙,启发
娴雅	文雅,闲雅
两侧	双侧
罪恶昭着	罪孽深重,死有余辜,恶贯满盈,罪大恶极,罪不容诛,罪该万死,罪恶滔天
高堂大厦	高楼大厦
探究	斟酌,研讨,商讨,探求,探索,探讨,琢磨,研究,讨论,钻研,商量,切磋
奇策	妙计,空城计
永无止境	学无止境
五体投地	心悦诚服,嗤之以鼻,顶礼膜拜
绝对	完全,十足,万万
腊鼓频催	年近岁终
设身处地	将心比心,身临其境
直通	纵贯
上演	演出
搁置	弃置,放置,弃捐
毗连	毗邻,相接,连接,接连,相连,衔接,连结,连续,连接结构
彤霞	红霞
早起	夙起,夙兴
养痈成患	养痈遗患,养痈贻患,后患无穷,养虎遗患
咕哝不已	喋不休
心怀叵测	存心不良,居心叵测,不可告人,忠心耿耿,别有用心,包藏祸心,心怀鬼胎,偷偷摸摸
亮光	光亮
心酸	辛酸,酸楚,心伤,悲伤,悲哀,悲戚,苦涩
得鱼忘筌	卸磨杀驴,过河拆桥,兔死狗烹
凉意	寒意
阐述	阐明,阐发,说明,论说,分析,叙述,论述,阐扬
遗书	绝笔,遗言
一息尚存	奄奄一息
暗送秋波	眉来眼去,眉目传情,暗度陈仓
子妇	媳妇
草屋	茅屋,茅舍
贫血	血亏,血虚
瑕玷	毛病,弊端,弱点,污点,瑕疵,短处,缺欠,缺点,缺陷
弄法	玩法
亲自	亲身
剖解	解剖
激发	激励,勉励,引发,激勉,激起,鼓励,鼓舞
半斤八两	一丘之貉,平分秋色,势均力敌,工力悉敌,旗鼓相当,各有千秋,铢两悉称,截然不同
作乱	反叛,造反,反水,叛逆
后果	结果
高朋满座	宾朋迎门,宾客盈门,宾朋盈门,宾朋满座,济济一堂
静止	停止
如日方升	欣欣向荣,蒸蒸日上,方兴未艾
脆弱	懦弱,柔弱,虚弱,软弱,薄弱
肃穆	威严,肃静,庄重,严格,严肃,庄严,庄敬,正经,端庄
百废待兴	百废待举
一手包办	大权独揽
木匠	木工
不安	担心
不定	未必
不实	虚假
髫龄	龆年
署书	榜书
烹饪	烹调
成效	功效,效果,劳绩,奏效,成果,成绩,收效,收获,生效,见效,结果,成就,功能
常日	平常,平素,平日,平时,日常
萎靡不振	精神萎顿,朝气蓬勃,一蹶不振,没精打采
刚正	正派,公正,坚毅刚烈,正大,刚强,刚毅,刚直,方正,朴直,梗直,正直,耿介
羞愤	羞恨
羞愧	内疚,惭愧,汗颜,羞惭,羞赧,忸怩,愧疚
奇幻	奇异
奔跑	奔驰,驰骋,奔腾,奔走
再起	复兴
真的	果然,果真
举措措施	设施
白面书生	文弱书生
增援	声援,支持,支援
充排场	撑场面
梅香	婢女
指点	教导,指示,指导,引导,批示,指引,提醒,辅导
扣门	拍门,敲门
略逊一筹	稍逊一筹
扣问	询问
养虎遗患	养痈遗患,纵虎归山,养痈成患,放龙入海,放虎归山,养虎伤身,姑息养奸,斩草除根
谈天	闲聊,聊天,闲扯,闲话,闲谈
队列	行列,队伍,行列步队
汗下	内疚,惭愧
星罗棋布	鳞次栉比,密密麻麻,数不胜数,浩如烟海,不计其数,不胜枚举,不乏其人
了案	结案
蠢笨	笨拙
跌荡	跌宕,跌宕放诞
谦卑	谦虚
惺惺惜惺惺	惺惺相惜
行使	使用,应用,运用,利用
垂老	老迈,年老
根底	根基,根柢,根抵,根本,基础,根蒂
另眼相看	刮目相看
回旋扭转	盘旋
端淑	文静
动荡	漂泊,动乱,摇荡,激荡,飘荡
生力军	新力量
巨人	伟人
碰壁	碰钉子,受阻,碰鼻
连任	留任,蝉联
援用	引用,援引
荒诞	荒谬,乖谬,妄诞,怪诞,荒唐,谬妄
箭在弦上	不得不发
下劣	卑劣,下贱,卑贱,轻贱
安不忘危	居安思危
忤逆	违逆
见闻广博	博古通今,见多识广,博学多闻
渡过	度过
轻佻	轻浮,轻率,浮滑,佻薄,放荡,浮薄,轻狂,轻薄
追问	诘问
大是大非	泾渭分明
雨过天青	云开见日
赞叹	赞许,称誉,称道,颂扬,赞赏,颂赞,赞扬,赞誉,讴歌,赞美,歌颂,称扬,称赞,称颂,惊叹,赞叹
销魂	断魂,消魂
大彻大悟	恍然大悟
成人之美	急公好义
那儿	哪里,那边,那里
幻化	变幻
灰暗	昏暗,暗淡
矢口不移	一口咬定
使者	青鸟使,使臣
牵扯不清	纠缠不清
帐篷	帐幕,帷幕
有效	有用,灵验
穷巷	僻巷,陋巷
盯梢	钉梢
熟悉	娴熟,熟习,熟练,熟识,熟谙,谙习,认识,相熟
办法	方式,举措,门径,主意,手段,手腕,措施,方法,法子,设施,要领
走私	私运
有救	没救
准则	规则,法规,准绳,标准,法例,法则,规矩,原则
敝帚千金	敝帚自珍
莳花	种花
耳语	密语,私语
有声有色	栩栩如生,有板有眼,有条有理,绘声绘色
归来回头	返来
文虎	灯谜
结结实实	严严实实
偷取	盗取
有数	稀有
抱屈	负屈,抱冤,含冤,受冤
飘零	漂荡,飘舞,飘荡,漂零
偏僻	僻静,冷僻,幽静,荒僻,偏远,荒僻罕见
原址	旧址
浑水	污水
出众	出色,超群,绝伦,轶群,非凡
出力异常	特别卖力
何苦	何必
诞生	出生,出世,成立,降生
务实	求实
淘气	任性,捣蛋,调皮,顽皮
侏儒	矮子
借使倘使	倘若
卑恭屈节	卑躬屈膝
邀功	要功
瞎闹	歪缠,厮闹,混闹,胡闹
偏颇	偏袒,偏私
不落俗套	不落窠臼
搭理	理会,理睬
自若	自在,自如
笃志	专注,专一,专心,埋头,潜心
贯通	融会,领悟,体会,流畅,贯串,贯穿,领略,流通,意会,畅通
臆测	揣测,猜测,臆度
熟年	丰年
后起之秀	青出于蓝
作陪	奉陪
预备	准备,打算,绸缪,计划,豫备
禁得起	禁得住
掀开	翻开
展现	呈现,揭示,显现,浮现,映现,体现,展示,显示,显露,暴露,表现,露出,涌现,出现
赤色	红色,血色
覆车之鉴	前车之鉴
好高骛远	弄虚作假,华而不实,好高务远,好大喜功
反目	不和,交恶,反面
锦衣玉食	鲜衣美食,金衣玉食,钟鸣鼎食
性质	本质,性子
特质	特征,特性,特点,特色
让步	妥协,退让,退步
花白	斑白
挑三拣四	挑肥拣瘦
优待	优遇,厚待,厚遇,宠遇,款待
奠定	奠基
到处	随处,在在,随地,各处,四处,处处,遍地
受惊	吃惊
宝刀不老	老当益壮,宝刀未老
清楚明了	明了
首坐	首座
杂沓	杂乱,凌乱,参差,混杂,错落,杂遝,混乱
花式	名目,格式,式样,名堂,样子,款式,花样,形式,式子
物阜民丰	国富民安
受惠	沾恩
烈士	义士
陈列所	展览场
手足重茧	手足胼胝
不才	在下,鄙人
奔流	奔腾
更名	改名
可以或许	能够
目光如炬	目光如电,高瞻远瞩
呼天喊地	千呼万唤
念念有词	振振有词
歌唱	颂扬,传颂,歌咏,歌颂,称赞,讴歌,赞扬,赞颂
贫窭	清贫,贫穷,困难,穷困,穷苦,窘迫,贫乏,贫困,贫苦
狗窦	狗洞
煞白	惨白
可以使	可使
不安分	不安本分
开玩笑	寻开心,恶作剧,开顽笑
白费	枉费,枉然,空费,徒劳,徒然,浪费,白搭
雄风	威风
拦截	阻拦,阻挡,拦挡
传译员	翻译员
鹊巢鸠占	喧宾夺主,反客为主
力把	利巴
拦阻	阻碍,阻拦,遏制,禁止,阻截,阻止,制止,劝止,阻挠,阻挡,阻难
一张一弛	以逸待劳
天旋地转	地动山摇,天摇地动
鲜味	美味
门户	派别,宗派,流派
母范	母仪
刀头舔血	刀口上舔血
表情	神色,样子,神态,神情,脸色,心情,神志
交加	交集,杂乱,错乱,错杂
布置	陈设,安插,交代,安排,安放,安置,摆设,部署,安顿,铺排
神甫	神父
池塘	水池
喧哗	热闹,纷扰,吵闹,喧嚣,喧闹,鼓噪
身体	形骸,肉体,身材,身段
没头没脑	呆头呆脑,劈头盖脸
断送	捐躯,就义,舍弃,葬送
结伴	结伙
扳连	株连,干连,牵涉,牵缠,瓜葛,连累
高屋建瓴	居高临下,高高在上
贱躯	粗躯
热火朝天	如火如荼,热气腾腾
根基	底子,根源,本原,基础,根底,根本,根柢,根蒂,基本
结伙	结伴
评估	评价
制约	限制
搭钮	铰链
回生	复活,复生
妥帖	妥当,伏贴,停当,妥善,安妥,恰当,稳妥,稳当
快捷	飞快,快速,敏捷,迅速,火速,急切
双重	两重
除暴安良	吊民伐罪,伐罪吊民,劫富济贫
美男	美女
虚实	底细,真假,内情
混淆	混合,混同,搅浑,殽杂,混杂,稠浊,混浊
seo	搜索引擎优化
抗御	防备,防御,防守,防卫,防止,防范
资助	赞助,帮助
混混	地痞,无赖,泼皮,流氓
源流	泉源,源头
解释	阐明,注明,注解,诠释,注脚,说明,说明注解,注释,表明,评释,声明
倡始	首倡,提倡,倡导,发起
和颜悦色	正颜厉色,平易近人,和蔼可亲,蔼然可亲,和风细雨
柔声	低声
真凭实据	铁证如山
狂热	亢奋
詈骂	唾骂,辱骂
辩白	辩护,分辩,辩解,分说,申辩
